student_last_name,student_first_name,student_middle_name,student_extension,birthdate,gender,grade_level,lrn,psa_birth_certificate_no,place_of_birth,mother_tongue,religion,current_house_street,current_barangay,current_city_municipality,current_province,current_country,current_zip_code,permanent_same_as_current,father_last_name,father_first_name,father_middle_name,father_contact_number,mother_maiden_last_name,mother_first_name,mother_middle_name,mother_contact_number,is_ip_community,is_4ps_beneficiary,learner_with_disability,returning_learner,transferee,last_school_attended,guardian_last_name,guardian_first_name,guardian_middle_name,guardian_email,guardian_contact,guardian_relationship,guardian_occupation,guardian_civil_status,guardian_nationality,guardian_religion,guardian_address,guardian_emergency_name,guardian_emergency_number
Santiago,James,Fernandez,,2015-02-24,male,4,136000000023,PSA-2026-0023,Oton,Hiligaynon,Christian,56 Magsaysay St,Buray,Oton,Iloilo,Philippines,5020,Yes,Santiago,Benjamin,Castillo,+639181000023,Fernandez,Mylene,Reyes,+639191000023,No,Yes,No,No,No,,Santiago,Benjamin,Fernandez,benjamin.santiago@agape-aiis.edu.ph,+639171000023,Father,Construction Worker,married,Filipino,Christian,56 Magsaysay St Buray Oton,Mylene Santiago,+639191000023
Fernandez,Ella,Lopez,,2015-07-19,female,4,136000000024,PSA-2026-0024,Miagao,Kinaray-a,Roman Catholic,6 Osmena St,Kirayan,Miagao,Iloilo,Philippines,5023,Yes,Fernandez,Jose,Ramos,+639181000024,Lopez,Clarissa,Garcia,+639191000024,No,No,No,No,No,,Fernandez,Clarissa,Lopez,clarissa.fernandez@agape-aiis.edu.ph,+639171000024,Mother,Food Seller,married,Filipino,Roman Catholic,6 Osmena St Kirayan Miagao,Jose Fernandez,+639181000024
Lopez,Benjamin,Castro,,2015-10-10,male,4,136000000025,PSA-2026-0025,Iloilo City,Hiligaynon,Roman Catholic,71 Muelle Loney St,City Proper,Iloilo City,Iloilo,Philippines,5000,Yes,Lopez,Arnel,Santos,+639181000025,Castro,Daisy,Flores,+639191000025,No,No,No,No,No,,Lopez,Daisy,Castro,daisy.lopez@agape-aiis.edu.ph,+639171000025,Mother,Sales Associate,married,Filipino,Roman Catholic,71 Muelle Loney St City Proper Iloilo City,Arnel Lopez,+639181000025
Morales,Lily,Ramos,,2014-01-31,female,5,136000000026,PSA-2026-0026,Iloilo City,Hiligaynon,Roman Catholic,9 Zamora St,Jaro,Iloilo City,Iloilo,Philippines,5000,Yes,Morales,Ernesto,Cruz,+639181000026,Ramos,Jennifer,Navarro,+639191000026,No,No,No,No,No,,Morales,Ernesto,Ramos,ernesto.morales@agape-aiis.edu.ph,+639171000026,Father,Warehouse Staff,married,Filipino,Roman Catholic,9 Zamora St Jaro Iloilo City,Jennifer Morales,+639191000026
Aguilar,Joshua,Santos,,2014-06-15,male,5,136000000027,PSA-2026-0027,Leganes,Hiligaynon,Christian,44 Luna St,Poblacion,Leganes,Iloilo,Philippines,5003,Yes,Aguilar,Randy,Reyes,+639181000027,Santos,Vivian,Garcia,+639191000027,No,Yes,No,No,No,,Aguilar,Vivian,Santos,vivian.aguilar@agape-aiis.edu.ph,+639171000027,Mother,Sari-sari Store Owner,married,Filipino,Christian,44 Luna St Poblacion Leganes,Randy Aguilar,+639181000027
Rivera,Aria,Lim,,2014-03-08,female,5,136000000028,PSA-2026-0028,Iloilo City,Hiligaynon,Roman Catholic,33 Delgado Extension,La Paz,Iloilo City,Iloilo,Philippines,5000,Yes,Rivera,Francis,Tan,+639181000028,Lim,Michelle,Uy,+639191000028,No,No,No,No,No,,Rivera,Michelle,Lim,michelle.rivera@agape-aiis.edu.ph,+639171000028,Mother,Nurse Aide,married,Filipino,Roman Catholic,33 Delgado Extension La Paz Iloilo City,Francis Rivera,+639181000028
Marquez,Samuel,Domingo,,2014-09-23,male,5,136000000029,PSA-2026-0029,Dumangas,Hiligaynon,Roman Catholic,20 Bonifacio St,Sapao,Dumangas,Iloilo,Philippines,5006,Yes,Marquez,Leo,Castillo,+639181000029,Domingo,Nora,Flores,+639191000029,No,No,No,No,Yes,Dumangas Elementary School,Marquez,Leo,Domingo,leo.marquez@agape-aiis.edu.ph,+639171000029,Father,Farm Worker,married,Filipino,Roman Catholic,20 Bonifacio St Sapao Dumangas,Nora Marquez,+639191000029
Padilla,Leah,Villanueva,,2014-11-03,female,5,136000000030,PSA-2026-0030,Santa Barbara,Hiligaynon,Roman Catholic,62 Rizal St,Binangkilan,Santa Barbara,Iloilo,Philippines,5002,Yes,Padilla,Dante,Garcia,+639181000030,Villanueva,Rowena,Reyes,+639191000030,No,No,No,No,No,,Padilla,Rowena,Villanueva,rowena.padilla@agape-aiis.edu.ph,+639171000030,Mother,Food Processor,married,Filipino,Roman Catholic,62 Rizal St Binangkilan Santa Barbara,Dante Padilla,+639181000030
Perez,Adrian,Flores,,2013-04-12,male,6,136000000031,PSA-2026-0031,Iloilo City,Hiligaynon,Roman Catholic,80 Mabini St,Mandurriao,Iloilo City,Iloilo,Philippines,5000,Yes,Perez,Reynaldo,Santos,+639181000031,Flores,Gina,Mendoza,+639191000031,No,No,No,No,No,,Perez,Reynaldo,Flores,reynaldo.perez@agape-aiis.edu.ph,+639171000031,Father,Delivery Rider,married,Filipino,Roman Catholic,80 Mabini St Mandurriao Iloilo City,Gina Perez,+639191000031
Salazar,Nicole,Reyes,,2013-08-27,female,6,136000000032,PSA-2026-0032,Pavia,Hiligaynon,Christian,21 Lopez Jaena St,Aganan,Pavia,Iloilo,Philippines,5001,Yes,Salazar,Cesar,Garcia,+639181000032,Reyes,Mona,Santos,+639191000032,No,Yes,No,No,No,,Salazar,Mona,Reyes,mona.salazar@agape-aiis.edu.ph,+639171000032,Mother,Housekeeper,married,Filipino,Christian,21 Lopez Jaena St Aganan Pavia,Cesar Salazar,+639181000032
Diaz,Julian,Castillo,,2013-05-05,male,6,136000000033,PSA-2026-0033,Oton,Hiligaynon,Roman Catholic,15 Bonifacio Ave,Poblacion West,Oton,Iloilo,Philippines,5020,Yes,Diaz,Orlando,Lopez,+639181000033,Castillo,Ruth,Reyes,+639191000033,No,No,No,No,No,,Diaz,Ruth,Castillo,ruth.diaz@agape-aiis.edu.ph,+639171000033,Mother,Canteen Staff,married,Filipino,Roman Catholic,15 Bonifacio Ave Poblacion West Oton,Orlando Diaz,+639181000033
Gutierrez,Claire,Navarro,,2013-10-14,female,6,136000000034,PSA-2026-0034,Miagao,Kinaray-a,Roman Catholic,37 Osmena St,Damilisan,Miagao,Iloilo,Philippines,5023,Yes,Gutierrez,Paolo,Ramos,+639181000034,Navarro,Liza,Flores,+639191000034,No,No,No,No,No,,Gutierrez,Paolo,Navarro,paolo.gutierrez@agape-aiis.edu.ph,+639171000034,Father,Welder,married,Filipino,Roman Catholic,37 Osmena St Damilisan Miagao,Liza Gutierrez,+639191000034
Hernandez,Marcus,Aquino,,2013-12-01,male,6,136000000035,PSA-2026-0035,Passi City,Hiligaynon,Roman Catholic,54 Mabini Road,Poblacion Ilawod,Passi City,Iloilo,Philippines,5037,Yes,Hernandez,Julius,Santos,+639181000035,Aquino,Marissa,Valdez,+639191000035,No,No,No,No,Yes,Passi Central School,Hernandez,Marissa,Aquino,marissa.hernandez@agape-aiis.edu.ph,+639171000035,Mother,Barangay Health Worker,married,Filipino,Roman Catholic,54 Mabini Road Poblacion Ilawod Passi City,Julius Hernandez,+639181000035
De Leon,Elijah,Manalo,,2018-04-06,male,1,136000000036,PSA-2026-0036,Iloilo City,Hiligaynon,Roman Catholic,18 Quezon St,Molo,Iloilo City,Iloilo,Philippines,5000,Yes,De Leon,Arturo,Cruz,+639181000036,Manalo,Irene,Garcia,+639191000036,No,No,No,No,No,,De Leon,Irene,Manalo,irene.de.leon@agape-aiis.edu.ph,+639171000036,Mother,Dressmaker,married,Filipino,Roman Catholic,18 Quezon St Molo Iloilo City,Arturo De Leon,+639181000036
Ocampo,Serena,Reyes,,2017-05-29,female,2,136000000037,PSA-2026-0037,Santa Barbara,Hiligaynon,Christian,70 Luna Extension,San Sebastian,Santa Barbara,Iloilo,Philippines,5002,Yes,Ocampo,Virgilio,Santos,+639181000037,Reyes,Carmela,Lopez,+639191000037,No,Yes,No,No,No,,Ocampo,Virgilio,Reyes,virgilio.ocampo@agape-aiis.edu.ph,+639171000037,Father,Farmer,married,Filipino,Christian,70 Luna Extension San Sebastian Santa Barbara,Carmela Ocampo,+639191000037
Bernardo,Theo,Marquez,,2016-07-07,male,3,136000000038,PSA-2026-0038,Leganes,Hiligaynon,Roman Catholic,4 Rizal St,Guinobatan,Leganes,Iloilo,Philippines,5003,Yes,Bernardo,Jun,Padilla,+639181000038,Marquez,Sheila,Santos,+639191000038,No,No,No,No,No,,Bernardo,Sheila,Marquez,sheila.bernardo@agape-aiis.edu.ph,+639171000038,Mother,Secretary,married,Filipino,Roman Catholic,4 Rizal St Guinobatan Leganes,Jun Bernardo,+639181000038
Cabrera,Beatrice,Lopez,,2015-09-09,female,4,136000000039,PSA-2026-0039,Iloilo City,Hiligaynon,Roman Catholic,92 Jalandoni St,Jaro,Iloilo City,Iloilo,Philippines,5000,Yes,Cabrera,Roger,Flores,+639181000039,Lopez,Karen,Reyes,+639191000039,No,No,No,No,No,,Cabrera,Roger,Lopez,roger.cabrera@agape-aiis.edu.ph,+639171000039,Father,Technician,married,Filipino,Roman Catholic,92 Jalandoni St Jaro Iloilo City,Karen Cabrera,+639191000039
Francisco,Isaac,Santiago,,2014-02-14,male,5,136000000040,PSA-2026-0040,Oton,Hiligaynon,Roman Catholic,41 Magsaysay Ave,Cagbang,Oton,Iloilo,Philippines,5020,Yes,Francisco,Roberto,Castro,+639181000040,Santiago,Lourdes,Garcia,+639191000040,No,No,No,No,No,,Francisco,Lourdes,Santiago,lourdes.francisco@agape-aiis.edu.ph,+639171000040,Mother,Tailor,married,Filipino,Roman Catholic,41 Magsaysay Ave Cagbang Oton,Roberto Francisco,+639181000040
Pascual,Samantha,Rivera,,2013-03-21,female,6,136000000041,PSA-2026-0041,Iloilo City,Hiligaynon,Roman Catholic,13 Burgos St,La Paz,Iloilo City,Iloilo,Philippines,5000,Yes,Pascual,Arnold,Reyes,+639181000041,Rivera,Belinda,Santos,+639191000041,No,No,No,No,No,,Pascual,Arnold,Rivera,arnold.pascual@agape-aiis.edu.ph,+639171000041,Father,Police Aide,married,Filipino,Roman Catholic,13 Burgos St La Paz Iloilo City,Belinda Pascual,+639191000041
Medina,Gabriel,Torres,,2018-10-18,male,1,136000000042,PSA-2026-0042,Dumangas,Hiligaynon,Christian,66 Quezon St,Barasan,Dumangas,Iloilo,Philippines,5006,Yes,Medina,Joey,Garcia,+639181000042,Torres,Fely,Reyes,+639191000042,No,Yes,No,No,No,,Medina,Fely,Torres,fely.medina@agape-aiis.edu.ph,+639171000042,Mother,Vendor,married,Filipino,Christian,66 Quezon St Barasan Dumangas,Joey Medina,+639181000042
Alvarez,Victoria,Castillo,,2017-01-06,female,2,136000000043,PSA-2026-0043,Iloilo City,Hiligaynon,Roman Catholic,28 General Luna St,City Proper,Iloilo City,Iloilo,Philippines,5000,Yes,Alvarez,Emmanuel,Ramos,+639181000043,Castillo,Joyce,Lopez,+639191000043,No,No,No,No,No,,Alvarez,Joyce,Castillo,joyce.alvarez@agape-aiis.edu.ph,+639171000043,Mother,Clinic Clerk,married,Filipino,Roman Catholic,28 General Luna St City Proper Iloilo City,Emmanuel Alvarez,+639181000043
Espinosa,Kyle,Mendoza,,2016-05-30,male,3,136000000044,PSA-2026-0044,Pavia,Hiligaynon,Roman Catholic,10 Bonifacio St,Ungka I,Pavia,Iloilo,Philippines,5001,Yes,Espinosa,Carlos,Navarro,+639181000044,Mendoza,Angela,Santos,+639191000044,No,No,No,No,No,,Espinosa,Carlos,Mendoza,carlos.espinosa@agape-aiis.edu.ph,+639171000044,Father,Security Officer,married,Filipino,Roman Catholic,10 Bonifacio St Ungka I Pavia,Angela Espinosa,+639191000044
Manuel,Audrey,Garcia,,2015-08-04,female,4,136000000045,PSA-2026-0045,Miagao,Kinaray-a,Roman Catholic,2 Rizal St,Banbanan,Miagao,Iloilo,Philippines,5023,Yes,Manuel,Peter,Santos,+639181000045,Garcia,Glenda,Reyes,+639191000045,No,No,No,No,Yes,Banbanan Elementary School,Manuel,Glenda,Garcia,glenda.manuel@agape-aiis.edu.ph,+639171000045,Mother,Housewife,married,Filipino,Roman Catholic,2 Rizal St Banbanan Miagao,Peter Manuel,+639181000045
Ortega,Raphael,Diaz,,2014-04-26,male,5,136000000046,PSA-2026-0046,Passi City,Hiligaynon,Roman Catholic,59 Magsaysay St,Dorillo,Passi City,Iloilo,Philippines,5037,Yes,Ortega,Renato,Valdez,+639181000046,Diaz,Anita,Flores,+639191000046,No,No,No,No,No,,Ortega,Renato,Diaz,renato.ortega@agape-aiis.edu.ph,+639171000046,Father,Farmer,married,Filipino,Roman Catholic,59 Magsaysay St Dorillo Passi City,Anita Ortega,+639191000046
Vargas,Julia,Soriano,,2013-06-18,female,6,136000000047,PSA-2026-0047,Iloilo City,Hiligaynon,Christian,84 Luna St,Mandurriao,Iloilo City,Iloilo,Philippines,5000,Yes,Vargas,Rico,Ramos,+639181000047,Soriano,Aileen,Cruz,+639191000047,No,No,No,No,No,,Vargas,Aileen,Soriano,aileen.vargas@agape-aiis.edu.ph,+639171000047,Mother,Accounting Clerk,married,Filipino,Christian,84 Luna St Mandurriao Iloilo City,Rico Vargas,+639181000047
Camacho,Dylan,Rosario,,2018-02-12,male,1,136000000048,PSA-2026-0048,Oton,Hiligaynon,Roman Catholic,25 Osmena St,Poblacion North,Oton,Iloilo,Philippines,5020,Yes,Camacho,Nilo,Morales,+639181000048,Rosario,Marina,Santos,+639191000048,No,Yes,No,No,No,,Camacho,Marina,Rosario,marina.camacho@agape-aiis.edu.ph,+639171000048,Mother,Market Helper,married,Filipino,Roman Catholic,25 Osmena St Poblacion North Oton,Nilo Camacho,+639181000048
Silva,Kathryn,Lopez,,2017-11-25,female,2,136000000049,PSA-2026-0049,Leganes,Hiligaynon,Roman Catholic,73 Mabini St,Cagcagan,Leganes,Iloilo,Philippines,5003,Yes,Silva,Erwin,Fernandez,+639181000049,Lopez,Donna,Garcia,+639191000049,No,No,No,No,No,,Silva,Erwin,Lopez,erwin.silva@agape-aiis.edu.ph,+639171000049,Father,Driver,married,Filipino,Roman Catholic,73 Mabini St Cagcagan Leganes,Donna Silva,+639191000049
Villamor,Patrick,Reyes,,2016-12-16,male,3,136000000050,PSA-2026-0050,Iloilo City,Hiligaynon,Roman Catholic,36 Delgado St,Molo,Iloilo City,Iloilo,Philippines,5000,Yes,Villamor,Bryan,Santos,+639181000050,Reyes,Flora,Mendoza,+639191000050,No,No,No,No,No,,Villamor,Flora,Reyes,flora.villamor@agape-aiis.edu.ph,+639171000050,Mother,Food Vendor,married,Filipino,Roman Catholic,36 Delgado St Molo Iloilo City,Bryan Villamor,+639181000050
